#,Author,Affiliation
3,Dejun Teng,stony brook university
3,Akshay Nehe,stony brook university
3,Prajeeth Emanuel,stony brook university
3,Furqan Baig,stony brook university
3,Jun Kong,Georgia State University
3,Fusheng Wang,stony brook university
4,Wenzel Friedsam,University of Stuttgart
4,Robin Hieber,University of Stuttgart
4,Alexander Kharitonov,University of Stuttgart
4,Tobias Rupp,University of Stuttgart
8,Daichi Amagata,Osaka University
8,Shohei Tsuruoka,Osaka University
8,Yusuke Arai,Osaka University
8,Takahiro Hara,Osaka University
9,Agnieszka Jastrzebska,Warsaw University of Technology
9,Wladyslaw Homenda,"Warsaw University of Technology, Warsaw, Poland"
10,Rita Parada Ramos,"INESC-ID and IST, University of Lisbon"
10,Bruno Martins,"INESC-ID and IST, University of Lisbon"
13,Zhanhong Yan,IBM Research
13,Satoshi Masuda,IBM Research
13,Michiaki Tatsubori,IBM Research
16,Zheng Zhu,University of Electronic Science and Technology of China
16,Huimin Ren,Worcester Polytechnic Institute
16,Sijie Ruan,Xidian University
16,Boyang Han,"JD iCity, JD Technology"
16,Jie Bao,"JD iCity, JD Technology"
16,Ruiyuan Li,"JD iCity, JD Technology"
16,Yanhua Li,Worcester Polytechnic Institute
16,Yu Zheng,"JD iCity, JD Technology"
17,Bram Custers,Eindhoven University of Technology
17,Wouter Meulemans,Eindhoven University of Technology
17,Bettina Speckmann,Eindhoven University of Technology
17,Kevin Verbeek,Eindhoven University of Technology
18,Favyen Bastani,MIT CSAIL
18,Songtao He,MIT CSAIL
18,Satvat Jagwani,MIT CSAIL
18,Mohammad Alizadeh,MIT CSAIL
18,Hari Balakrishnan,MIT CSAIL
18,Sanjay Chawla,Qatar Computing Research Institute
18,Sam Madden,MIT CSAIL
18,Mohammad Amin Sadeghi,Qatar Computing Research Institute
20,Kostas Kollias,Google
20,Arun Chandrashekharapuram,Google
20,Lisa Fawcett,Google
20,Sreenivas Gollapudi,Google
20,Ali Sinop,Google
23,Mahan Tabatabaie,University of Connecticut
23,Suining He,University of Connecticut
23,Xi Yang,University of Connecticut
25,Kien Nguyen,University of Southern California
25,John Krumm,Microsoft
25,Cyrus Shahabi,University of Southern California
26,Guangyin Jin,"College of Systems Engineering, National University of Defense Technology"
26,Huan Yan,"Department of Electronic Engineering, Tsinghua University"
26,Fuxian Li,"Department of Electronic Engineering, Tsinghua University"
26,Yong Li,"Department of Electronic Engineering, Tsinghua University"
26,Jincai Huang,"College of Systems Engineering, National University of Defense Technology"
30,Wenmiao Hu,Grabtaxi holding
30,Yifang Yin,National University of Singapore
30,Ying Kiat Tan,National University of Singapore
30,An Tran,Grabtaxi Holdings
30,Hannes Kruppa,Grabtaxi Holdings
30,Roger Zimmermann,National University of Singapore
34,Hassan Noureddine,"Naval Academy Research Institute, F-29240 Brest, France"
34,Cyril Ray,"Arts et Metiers Institute of Technology, Naval Academy Research Institute, F-29240 Brest, France"
34,Christophe Claramunt,"Arts et Metiers Institute of Technology, Naval Academy Research Institute, F-29240 Brest, France"
35,Mohamed Amin Hammami,Imam Abdulrahman Bin Faisal University
35,Christophe Claramunt,Naval Academy Research Institute
36,Yifang Yin,National University of Singapore
36,An Tran,Grabtaxi Holdings
36,Ying Zhang,National University of Singapore
36,Wenmiao Hu,Grabtaxi Holdings
36,Guanfeng Wang,Grabtaxi Holdings
36,Jagannadan Varadarajan,Grabtaxi Holdings
36,Roger Zimmermann,National University of Singapore
36,See-Kiong Ng,National University of Singapore
40,Hanxiang Hao,Purdue Univerisity
40,Sriram Baireddy,Purdue University
40,Kevin LaTourette,Lockheed Martin Space
40,Latisha Konz,Lockheed Martin Space
40,Moses Chan,Lockheed Martin Space
40,Mary Comer,Purdue University
40,Edward Delp,Purdue University
41,Camila Ferreira Costa,University of Alberta
41,Mario Nascimento,University of Alberta
43,He Li,Xidian University
43,Shiyu Zhang,Xidian University
43,Xuejiao Li,Xidian University
43,Hongjie Huang,Xidian University
43,Liangcai Su,Xidian University
43,Duo Jin,Xidian University
43,Linghao Chen,Xidian University
43,Jianbin Huang,Xidian University
43,Jaesoo Yoo,Chungbuk National University
44,He Li,Xidian University
44,Duo Jin,Xidian University
44,Xuejiao Li,Xidian University
44,Jianbin Huang,Xidian University
44,Jaesoo Yoo,Chungbuk National University
45,Konstantin Klemmer,The University of Warwick
45,Daniel Neill,New York University
46,Jingyuan Wang,Beihang University
46,Jiawei Jiang,Beihang University
46,Wenjun Jiang,Beihang University
46,Chao Li,Beihang University
46,Xin Zhao,Renmin University of China
47,Menghai Pan,Worcester Polytechnic Institute
47,Xin Zhang,Worcester Polytechnic Institute (WPI)
47,Yanhua Li,Worcester Polytechnic Institute (WPI)
47,Xun Zhou,University of Iowa
47,Jun Luo,Lenovo Group Limited
48,Xiang Li,East China Normal University
48,Yijun He,East China Normal University
50,Fandel Lin,National Cheng Kung University
50,Hsun-Ping Hsieh,National Cheng Kung University
52,John Krumm,Microsoft
56,Sina Shaham,University of Southern California
56,Gabriel Ghinita,"University of Massachusetts, Boston"
56,Ritesh Ahuja,University of Southern California
56,John Krumm,Microsoft Research
56,Cyrus Shahabi,University of Southern California
58,Gautam Thakur,Oak Ridge National Laboratory
58,Kelly Sims,Oak Ridge National Laboratory
58,Chantelle Rittmaier,Oak Ridge National Laboratory
58,Joseph Bentley,Oak Ridge National Laboratory
58,Debraj De,Oak Ridge National Laboratory
58,Junchuan Fan,Oak Ridge National Laboratory
58,Rachel Palumbo,Oak Ridge National Laboratory
58,Jesse McGaha,Oak Ridge National Laboratory
58,Phil Nugent,Oak Ridge National Laboratory
58,Tao Liu,Oak Ridge National Laboratory
58,Tyler Sheldon,Oak Ridge National Laboratory
58,Bryan Eaton,Oak Ridge National Laboratory
58,Jordan Burdette,ORNL
58,Delenia Wray,Oak Ridge National Laboratory
58,Kevin Sparks,Oak Ridge National Laboratory
60,Soto Anno,Tokyo Institute of Technology
60,Kota Tsubouchi,Yahoo Japan Corporation
60,Masamichi Shimosaka,Tokyo Institute of Technology
61,Yu Gu,Shenzhen University
61,Wei Tu,Shenzhen University
61,Qingquan Li,Shenzhen University
61,Tianhong Zhao,Shenzhen University
61,Dingyi Zhao,Shenzhen University
61,Song Zhu,Shenzhen University
61,Jiasong Zhu,Shenzhen University
62,Koh Takeuchi,Kyoto University
62,Masaaki Imaizumi,The University of Tokyo
62,Shunsuke Kanda,RIKEN Center for Advanced Intelligence Project
62,Keisuke Fujii,Nagoya University
62,Masakazu Ishihata,NTT Communication Science Laboratories
62,Takuya Maekawa,Osaka University
62,Ken Yoda,Nagoya University
62,Yasuo Tabei,RIKEN Center for Advanced Intelligence Project
64,Tianfu He,Harbin Institute of Technology
64,Guochun Chen,JD Technology
64,Chuishi Meng,JD Technology
64,Huajun He,JD Technology
64,Zheyi Pan,JD Technology
64,Yexin Li,JD Technology
64,Sijie Ruan,JD Technology
64,Huimin Ren,JD Technology
64,Ye Yuan,JD Technology
64,Ruiyuan Li,JD Technology
64,Junbo Zhang,JD Technology
64,Jie Bao,JD Technology
64,Hui He,Harbin Institute of Technology
64,Yu Zheng,JD Technology
66,Christian Häcker,Johannes Gutenberg University Mainz
66,Panagiotis Bouros,Johannes Gutenberg University Mainz
