#,Authors,Title,Decision
4,"Wenzel Friedsam, Robin Hieber, Alexander Kharitonov and Tobias Rupp",OSM Ski Resort Routing,Accept (Demo)
35,Mohamed Amin Hammami and Christophe Claramunt,An acoustic and psycho-acoustic experimental setup for analysing urban soundscapes,Accept (Demo)
48,Xiang Li and Yijun He,Origin-destination (OD) analysis based on big taxi trajectory data with XStar (Demo Paper),Accept (Demo)
86,"Theodoros Chondrogiannis, Panagiotis Bouros and Winfried Emser",Simulation-based Evacuation Planning for Urban Areas,Accept (Demo)
110,"Xu Teng, Thomas Beckler, Bradley Gannon, Benjamin Huinker, Gabriel Huinker, Koushhik Kumar, Cristina Marquez, Jacob Spooner, Goce Trajcevski, Aaron Dotter, Jeff Andrews, Scott Coughlin, Juan Garcia Serra, Ying Qin, Nam Tran, Jaime Roman Garja, Konstantinos Kouvlakis, Emmanouil Zapartas, Simone Bavera, Devina Misr, Anastasios Fragkos and Prabin Giri",CSD-CMAD: Coupling Similarity and Diversity for Clustering Multivariate Astrophysics Data (Demo Paper),Accept (Demo)
111,"Huajun He, Ruiyuan Li, Jie Bao, Tianrui Li and Yu Zheng",JUST-Traj: A Distributed and Holistic  Trajectory Data Management System (Demo Paper),Accept (Demo)
115,"Yue Hu, Sijie Ruan, Yuting Ni, Huajun He, Jie Bao, Ruiyuan Li and Yu Zheng",SALON: A Universal Stay Point-Based Location Analysis Platform (Demo paper),Accept (Demo)
127,"Leonardo Figueiredo, Germano Santos, Raissa Souza, Fabricio Silva and Thais Silva",MoreData: A Geospatial Data EnrichmentFramework,Accept (Demo)
130,"Edward Buckland, Egemen Tanin, Nicholas Geard, Cameron Zachreson, Hairuo Xie and Hanan Samet",Managing Trajectories and Interactions During a Pandemic: A Trajectory Similarity-based Approach (Demo Paper),Accept (Demo)
142,"Andreas S. Andersen, Andreas D Christensen, Philip Michaelsen, Shpend Gjela and Kristian Torp",AIS Data as Trajectories and Heat Maps (demo paper),Accept (Demo)
160,"Shekoofeh Mokhtari, Alex Rusnak, Tsheko Mutungu and Dragomir Yankov",Improving Maps Auto-Complete Through Query Expansion,Accept (Demo)
165,"Joe Mays, Sachin Kharude, John Oram, Dinesh Rao, Yunzhi Shi, Raj Biswas, Mehdi Noori, Xin Chen and Michael Kilberry",Predicting Road Accident Risk Using Geospatial Data and Machine Learning (Demo Paper),Accept (Demo)
172,"Hannah Bast, Patrick Brosi, Johannes Kalmbach and Axel Lehmann",The Planet at Your Fingertips: Fast Interactive Semantic Search on OpenStreetMap Data (Demo Paper),Accept (Demo)
208,"Sitao Min, Ritesh Ahuja, Yingzhe Liu, Abbas Zaidi, Catherine Phu, Luciano Nocera and Cyrus Shahabi",CrowdMap: Spatiotemporal visualization of anonymous occupancy data for contact tracing and policy making (Demo Paper),Accept (Demo)
16,"Zheng Zhu, Huimin Ren, Sijie Ruan, Boyang Han, Jie Bao, Ruiyuan Li, Yanhua Li and Yu Zheng",ICFinder: A Ubiquitous Approach to Detecting Illegal Hazardous Chemical Facilities with Truck Trajectories(Industrial Paper),Accept (Industrial poster)
64,"Tianfu He, Guochun Chen, Chuishi Meng, Huajun He, Zheyi Pan, Yexin Li, Sijie Ruan, Huimin Ren, Ye Yuan, Ruiyuan Li, Junbo Zhang, Jie Bao, Hui He and Yu Zheng",POI Alias Discovery in E-commerce Delivery Address Data using User Check-ins (Industrial Paper),Accept (Industrial poster)
58,"Gautam Thakur, Kelly Sims, Chantelle Rittmaier, Joseph Bentley, Debraj De, Junchuan Fan, Rachel Palumbo, Jesse McGaha, Phil Nugent, Tao Liu, Tyler Sheldon, Bryan Eaton, Jordan Burdette, Delenia Wray and Kevin Sparks","""Industrial Paper"": Accelerated Assessment of Critical Infrastructure in Aiding Recovery Efforts During Natural and Human-made Disaster",Accept (Industrial)
61,"Yu Gu, Wei Tu, Qingquan Li, Tianhong Zhao, Dingyi Zhao, Song Zhu and Jiasong Zhu",Crowdsourcing pipe capsules to inspect large-area sewer pipe networks (Industrial Paper),Accept (Industrial)
95,"Keiichi Ochiai, Hiroto Akatsuka, Wataru Yamada and Masayuki Terada",Disaster Damage Estimation from Real-time Population Dynamics using Graph Convolutional Network,Accept (Industrial)
105,"Yatong Song, Jiawei Li, Liying Chen, Shuiping Chen, Renqing He and Zhizhao Sun",A Semantic Segmentation based POI Coordinates Generating Framework for On-demand Food Delivery Service(Industrial Paper),Accept (Industrial)
9,Agnieszka Jastrzebska and Wladyslaw Homenda,Text-Based Delay Prediction in a Public Transport Monitoring System,Accept (Poster)
10,Rita Parada Ramos and Bruno Martins,Remote Sensing Image Captioning with Continuous Output Neural Models,Accept (Poster)
13,"Zhanhong Yan, Satoshi Masuda and Michiaki Tatsubori",Online Adaptation of Parameters using GRU-based Neural Network with BO for Accurate Driving Model,Accept (Poster)
18,"Favyen Bastani, Songtao He, Satvat Jagwani, Mohammad Alizadeh, Hari Balakrishnan, Sanjay Chawla, Sam Madden and Mohammad Amin Sadeghi",Updating Street Maps using Changes Detected in Satellite Imagery,Accept (Poster)
26,"Guangyin Jin, Huan Yan, Fuxian Li, Yong Li and Jincai Huang",Hierarchical Neural Architecture Search for Travel Time Estimation,Accept (Poster)
30,"Wenmiao Hu, Yifang Yin, Ying Kiat Tan, An Tran, Hannes Kruppa and Roger Zimmermann",GeoPalette: Road Segmentation with Limited Satellite Imagery,Accept (Poster)
34,"Hassan Noureddine, Cyril Ray and Christophe Claramunt",Multiple Views of Semantic Trajectories in Indoor and Outdoor Spaces,Accept (Poster)
40,"Hanxiang Hao, Sriram Baireddy, Kevin LaTourette, Latisha Konz, Moses Chan, Mary Comer and Edward Delp",Improving Building Segmentation Using Uncertainty Modeling and Metadata Injection,Accept (Poster)
43,"He Li, Shiyu Zhang, Xuejiao Li, Hongjie Huang, Liangcai Su, Duo Jin, Linghao Chen, Jianbin Huang and Jaesoo Yoo",DetectorNet: Transformer-enhanced Spatial Temporal Graph Neural Network for Traffic Prediction,Accept (Poster)
44,"He Li, Duo Jin, Xuejiao Li, Jianbin Huang and Jaesoo Yoo",Multi-Task Synchronous Graph Neural Networks for Traffic Spatial-Temporal Prediction,Accept (Poster)
45,Konstantin Klemmer and Daniel Neill,Auxiliary-task learning for geographic data with autoregressive embeddings,Accept (Poster)
46,"Jingyuan Wang, Jiawei Jiang, Wenjun Jiang, Chao Li and Xin Zhao",LibTraffic: An Open Library for Traffic Prediction (Demo Paper),Accept (Poster)
60,"Soto Anno, Kota Tsubouchi and Masamichi Shimosaka",CityOutlook: Early Crowd Dynamics Forecast towards Irregular Events Detection with Synthetically Unbiased Regression,Accept (Poster)
