UID (sessionID+seqno),Dropbox PDF,Youtube,Bilibili,Paper Ttitle,share
1-01,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+224.pdf,https://www.youtube.com/watch?v=SaLx9KSxCRg,https://www.bilibili.com/video/BV1KK4y1E7RL/,1D and 2D Flow Routing on a Terrain,yes
1-02,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+148.pdf,https://youtu.be/O4jeV5AoWQI,https://www.bilibili.com/video/BV1bZ4y1V7h3/,A Time-Windowed Data Structure for Spatial Density Maps,yes
1-03,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+206.pdf,https://www.youtube.com/watch?v=Ml1KfdGBsBM,https://www.bilibili.com/video/BV1Q54y167a9/,Incorporating domain knowledge into Memetic Algorithms for solving Spatial Optimization problems,yes
1-04,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+136.pdf,https://www.youtube.com/watch?v=ztsrPs1XvN8,https://www.bilibili.com/video/BV1o541157Gi/,Topology-Preserving Terrain Simplification,yes
1-05,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+145.pdf,https://www.youtube.com/watch?v=-aPxY7UnLyo,https://www.bilibili.com/video/BV1zz4y1o7CJ/,Estimation of Road Transverse Slope Using Crowd-Sourced Data from Smartphones,yes
2-01,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+2.pdf,https://www.youtube.com/watch?v=8t7IXHJlE8w,https://www.bilibili.com/video/BV1t54y1C7S5/,Node–attributed Spatial Graph Partitioning,yes
2-02,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+233.pdf,https://youtu.be/NtsRxue7wcU,https://www.bilibili.com/video/BV1wK4y1E7on/,Semantically Augmented Range Queries over Heterogeneous Geospatial Data,yes
2-03,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+66.pdf,https://www.youtube.com/watch?v=vHY1-8kb0gQ,https://www.bilibili.com/video/BV1bf4y1i7rB/,TrioStat: Online Workload Estimation in Distributed Spatial Data Streaming Systems,yes
2-04,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+196.pdf,https://youtu.be/ZKrYFmqaTjA,https://www.bilibili.com/video/BV1dr4y1c7JN/,Distributed Spatiotemporal Trajectory Query Processing In SQL,yes
2-05,https://www.dropbox.com/sh/l3624uu2imsdcs4/AADv4XCg5e145BrT05hWo-fLa/Main-Conference?dl=0&preview=paper+157.pdf,https://youtu.be/6aUFMB2dZnc,https://www.bilibili.com/video/BV1dA411L7tQ/,"(k, l)-Medians Clustering of Trajectories Using Continuous Dynamic Time Warping",yes
